Month, 5 Year , 10 Year , 30 Year  , 50 Year 
01/04/1998, 5.91 , 5.70 , 5.71 ,
01/05/1998, 5.82 , 5.57 , 5.55 ,
01/06/1998, 6.17 , 5.64 , 5.43 ,
01/07/1998, 6.06 , 5.57 , 5.38 ,
01/08/1998, 5.52 , 5.19 , 5.11 ,
01/09/1998, 5.00 , 4.80 , 4.77 ,
01/10/1998, 4.98 , 4.96 , 5.00 ,
01/11/1998, 4.71 , 4.59 , 4.60 ,
01/12/1998, 4.40 , 4.30 , 4.36 ,
01/01/1999, 4.30 , 4.24 , 4.32 ,
01/02/1999, 4.45 , 4.39 , 4.42 ,
01/03/1999, 4.70 , 4.60 , 4.55 ,
01/04/1999, 4.67 , 4.49 , 4.47 ,
01/05/1999, 4.93 , 4.77 , 4.71 ,
01/06/1999, 5.26 , 5.03 , 4.97 ,
01/07/1999, 5.48 , 5.20 , 4.71 ,
01/08/1999, 5.69 , 5.25 , 4.63 ,
01/09/1999, 5.96 , 5.52 , 4.77 ,
01/10/1999, 6.24 , 5.70 , 4.74 ,
01/11/1999, 5.89 , 5.16 , 4.23 ,
01/12/1999, 5.95 , 5.28 , 4.41 ,
01/01/2000, 6.35 , 5.74 , 4.69 ,
01/02/2000, 6.22 , 5.55 , 4.57 ,
01/03/2000, 6.00 , 5.27 , 4.40 ,
01/04/2000, 5.94 , 5.23 , 4.50 ,
01/05/2000, 5.90 , 5.35 , 4.46 ,
01/06/2000, 5.77 , 5.14 , 4.46 ,
01/07/2000, 5.73 , 5.17 , 4.35 ,
01/08/2000, 5.80 , 5.25 , 4.44 ,
01/09/2000, 5.79 , 5.31 , 4.57 ,
01/10/2000, 5.64 , 5.14 , 4.58 ,
01/11/2000, 5.48 , 5.05 , 4.44 ,
01/12/2000, 5.29 , 4.89 , 4.34 ,
01/01/2001, 5.19 , 4.88 , 4.29 ,
01/02/2001, 5.15 , 4.89 , 4.37 ,
01/03/2001, 4.95 , 4.77 , 4.40 ,
01/04/2001, 5.01 , 4.90 , 4.68 ,
01/05/2001, 5.20 , 5.06 , 4.80 ,
01/06/2001, 5.31 , 5.13 , 4.94 ,
01/07/2001, 5.32 , 5.13 , 4.84 ,
01/08/2001, 5.08 , 4.90 , 4.59 ,
01/09/2001, 4.93 , 4.91 , 4.74 ,
01/10/2001, 4.77 , 4.76 , 4.63 ,
01/11/2001, 4.58 , 4.58 , 4.34 ,
01/12/2001, 4.91 , 4.85 , 4.55 ,
01/01/2002, 4.96 , 4.90 , 4.61 ,
01/02/2002, 4.98 , 4.93 , 4.63 ,
01/03/2002, 5.28 , 5.22 , 4.91 ,
01/04/2002, 5.27 , 5.21 , 4.96 ,
01/05/2002, 5.27 , 5.25 , 5.03 ,
01/06/2002, 5.10 , 5.07 , 4.88 ,
01/07/2002, 4.92 , 4.95 , 4.76 ,
01/08/2002, 4.57 , 4.66 , 4.51 ,
01/09/2002, 4.33 , 4.45 , 4.32 ,
01/10/2002, 4.39 , 4.57 , 4.47 ,
01/11/2002, 4.41 , 4.59 , 4.53 ,
01/12/2002, 4.37 , 4.53 , 4.54 ,
01/01/2003, 4.17 , 4.37 , 4.43 ,
01/02/2003, 3.90 , 4.20 , 4.35 ,
01/03/2003, 3.94 , 4.27 , 4.49 ,
01/04/2003, 4.08 , 4.41 , 4.62 ,
01/05/2003, 3.83 , 4.15 , 4.44 ,
01/06/2003, 3.69 , 4.02 , 4.39 ,
01/07/2003, 3.91 , 4.43 , 4.66 ,
01/08/2003, 4.31 , 4.59 , 4.67 ,
01/09/2003, 4.43 , 4.69 , 4.72 ,
01/10/2003, 4.70 , 4.90 , 4.80 ,
01/11/2003, 4.88 , 5.04 , 4.85 ,
01/12/2003, 4.68 , 4.88 , 4.74 ,
01/01/2004, 4.59 , 4.78 , 4.67 ,
01/02/2004, 4.61 , 4.81 , 4.70 ,
01/03/2004, 4.54 , 4.70 , 4.61 ,
01/04/2004, 4.82 , 4.94 , 4.76 ,
01/05/2004, 5.03 , 5.09 , 4.86 ,
01/06/2004, 5.17 , 5.18 , 4.83 ,
01/07/2004, 5.07 , 5.08 , 4.77 ,
01/08/2004, 4.96 , 4.97 , 4.65 ,
01/09/2004, 4.85 , 4.90 , 4.62 ,
01/10/2004, 4.67 , 4.76 , 4.56 ,
01/11/2004, 4.61 , 4.68 , 4.46 ,
01/12/2004, 4.47 , 4.53 , 4.39 ,
01/01/2005, 4.48 , 4.55 , 4.43 ,
01/02/2005, 4.61 , 4.61 , 4.43 ,
01/03/2005, 4.79 , 4.81 , 4.65 ,
01/04/2005, 4.59 , 4.62 , 4.53 ,
01/05/2005, 4.36 , 4.41 , 4.37 ,
01/06/2005, 4.20 , 4.27 , 4.26 , 4.18 
01/07/2005, 4.17 , 4.29 , 4.31 , 4.22 
01/08/2005, 4.24 , 4.30 , 4.30 , 4.20 
01/09/2005, 4.15 , 4.21 , 4.20 , 4.11 
01/10/2005, 4.29 , 4.34 , 4.28 , 4.18 
01/11/2005, 4.34 , 4.32 , 4.18 , 4.07 
01/12/2005, 4.28 , 4.22 , 4.07 , 3.96 
01/01/2006, 4.20 , 4.08 , 3.83 , 3.70 
01/02/2006, 4.26 , 4.17 , 3.88 , 3.74 
01/03/2006, 4.40 , 4.32 , 4.00 , 3.84 
01/04/2006, 4.54 , 4.51 , 4.22 , 4.06 
01/05/2006, 4.73 , 4.63 , 4.25 , 4.06 
01/06/2006, 4.74 , 4.64 , 4.28 , 4.10 
01/07/2006, 4.73 , 4.64 , 4.26 , 4.06 
01/08/2006, 4.78 , 4.63 , 4.22 , 4.02 
01/09/2006, 4.75 , 4.54 , 4.11 , 3.91 
01/10/2006, 4.85 , 4.61 , 4.11 , 3.87 
01/11/2006, 4.84 , 4.55 , 4.05 , 3.82 
01/12/2006, 4.92 , 4.63 , 4.15 , 3.92 
01/01/2007, 5.22 , 4.88 , 4.29 , 4.03 
01/02/2007, 5.26 , 4.92 , 4.35 , 4.10 
01/03/2007, 5.15 , 4.83 , 4.30 , 4.08 
01/04/2007, 5.27 , 5.05 , 4.48 , 4.28 
01/05/2007, 5.41 , 5.15 , 4.55 , 4.33 
01/06/2007, 5.68 , 5.42 , 4.76 , 4.51 
01/07/2007, 5.63 , 5.39 , 4.70 , 4.45 
01/08/2007, 5.33 , 5.13 , 4.52 , 4.28 
01/09/2007, 5.09 , 4.99 , 4.53 , 4.35 
01/10/2007, 5.02 , 4.93 , 4.54 , 4.38 
01/11/2007, 4.71 , 4.69 , 4.43 , 4.32 
01/12/2007, 4.62 , 4.65 , 4.43 , 4.33 
01/01/2008, 4.33 , 4.44 , 4.33 , 4.25 
01/02/2008, 4.31 , 4.58 , 4.46 , 4.33 
01/03/2008, 4.02 , 4.38 , 4.37 , 4.22 
01/04/2008, 4.25 , 4.57 , 4.50 , 4.30 
01/05/2008, 4.67 , 4.80 , 4.53 , 4.28 
01/06/2008, 5.23 , 5.10 , 4.66 , 4.39 
01/07/2008, 4.93 , 4.95 , 4.60 , 4.32 
01/08/2008, 4.57 , 4.63 , 4.45 , 4.24 
01/09/2008, 4.40 , 4.49 , 4.44 , 4.29 
01/10/2008, 4.07 , 4.47 , 4.44 , 4.30 
01/11/2008, 3.31 , 4.08 , 4.37 , 4.20 
01/12/2008, 2.81 , 3.35 , 3.88 , 3.78 
01/01/2009, 2.80 , 3.61 , 4.18 , 4.11 
01/02/2009, 2.66 , 3.64 , 4.22 , 4.16 
01/03/2009, 2.31 , 3.19 , 4.14 , 4.23 
01/04/2009, 2.72 , 3.37 , 4.41 , 4.38 
01/05/2009, 2.77 , 3.62 , 4.51 , 4.46 
01/06/2009, 3.07 , 3.82 , 4.58 , 4.49 
01/07/2009, 3.10 , 3.80 , 4.49 , 4.42 
01/08/2009, 2.86 , 3.69 , 4.29 , 4.18 
01/09/2009, 2.64 , 3.65 , 4.17 , 4.12 
01/10/2009, 2.53 , 3.63 , 4.12 , 4.08 
01/11/2009, 2.59 , 3.80 , 4.22 , 4.13 
01/12/2009, 2.52 , 3.93 , 4.33 , 4.21 
01/01/2010, 3.02 , 4.06 , 4.43 , 4.29 
01/02/2010, 2.92 , 4.09 , 4.53 , 4.41 
01/03/2010, 2.79 , 4.02 , 4.59 , 4.49 
01/04/2010, 2.75 , 4.06 , 4.57 , 4.48 
01/05/2010, 2.40 , 3.71 , 4.35 , 4.31 
01/06/2010, 2.19 , 3.48 , 4.26 , 4.23 
01/07/2010, 2.08 , 3.37 , 4.22 , 4.18 
01/08/2010, 1.81 , 3.08 , 4.07 , 4.04 
01/09/2010, 1.71 , 3.02 , 4.02 , 4.01 
01/10/2010, 1.56 , 2.96 , 4.03 , 4.04 
01/11/2010, 1.76 , 3.19 , 4.23 , 4.21 
01/12/2010, 2.06 , 3.50 , 4.34 , 4.28 
01/01/2011, 2.61 , 3.72 , 4.44 , 4.34 
01/02/2011, 2.81 , 3.86 , 4.48 , 4.37 
01/03/2011, 2.56 , 3.63 , 4.34 , 4.25 
01/04/2011, 2.57 , 3.65 , 4.33 , 4.22 
01/05/2011, 2.23 , 3.36 , 4.18 , 4.11 
01/06/2011, 1.99 , 3.24 , 4.17 , 4.11 
01/07/2011, 1.83 , 3.12 , 4.16 , 4.10 
01/08/2011, 1.35 , 2.55 , 3.87 , 3.83 
01/09/2011, 1.22 , 2.48 , 3.64 , 3.67 
01/10/2011, 1.53 , 2.49 , 3.43 , 3.47 
01/11/2011, 1.27 , 2.23 , 3.18 , 3.15 
01/12/2011, 1.09 , 2.12 , 3.15 , 3.15 
01/01/2012, 1.05 , 2.11 , 3.07 , 3.09 
01/02/2012, 1.03 , 2.20 , 3.27 , 3.26 
01/03/2012, 1.09 , 2.25 , 3.33 , 3.31 
01/04/2012, 1.02 , 2.12 , 3.31 , 3.33 
01/05/2012, 0.86 , 1.87 , 3.16 , 3.23 
01/06/2012, 0.72 , 1.68 , 3.02 , 3.12 
01/07/2012, 0.57 , 1.55 , 2.94 , 3.08 
01/08/2012, 0.55 , 1.57 , 2.97 , 3.10 
01/09/2012, 0.75 , 1.77 , 3.09 , 3.20 
01/10/2012, 0.77 , 1.80 , 3.12 , 3.22 
01/11/2012, 0.79 , 1.79 , 3.07 , 3.17 
01/12/2012, 0.84 , 1.84 , 3.13 , 3.24 
01/01/2013, 0.98 , 2.05 , 3.28 , 3.37 
01/02/2013, 0.91 , 2.11 , 3.37 , 3.46 
01/03/2013, 0.79 , 1.90 , 3.23 , 3.33 
01/04/2013, 0.67 , 1.70 , 3.02 , 3.13 
01/05/2013, 0.81 , 1.86 , 3.16 , 3.27 
01/06/2013, 1.29 , 2.21 , 3.46 , 3.45 
01/07/2013, 1.30 , 2.35 , 3.55 , 3.51 
01/08/2013, 1.51 , 2.58 , 3.62 , 3.56 
01/09/2013, 1.67 , 2.89 , 3.66 , 3.59 
01/10/2013, 1.52 , 2.69 , 3.52 , 3.46 
01/11/2013, 1.52 , 2.74 , 3.57 , 3.49 
01/12/2013, 1.70 , 2.92 , 3.64 , 3.55 
01/01/2014, 1.73 , 2.86 , 3.58 , 3.50 
01/02/2014, 1.63 , 2.74 , 3.53 , 3.45 
01/03/2014, 1.93 , 2.72 , 3.50 , 3.42 
01/04/2014, 1.91 , 2.68 , 3.46 , 3.39 
01/05/2014, 1.92 , 2.62 , 3.41 , 3.33 
01/06/2014, 2.02 , 2.70 , 3.45 , 3.37 
01/07/2014, 2.02 , 2.63 , 3.36 , 3.30 
01/08/2014, 1.84 , 2.54 , 3.12 , 3.06 
01/09/2014, 1.79 , 2.49 , 3.11 , 3.07 
01/10/2014, 1.53 , 2.22 , 2.94 , 2.90 
01/11/2014, 1.43 , 2.13 , 2.87 , 2.84 
01/12/2014, 1.26 , 1.87 , 2.62 , 2.58 
01/01/2015, 1.16 , 1.54 , 2.25 , 2.21 
01/02/2015, 1.27 , 1.68 , 2.39 , 2.33 
01/03/2015, 1.29 , 1.68 , 2.45 , 2.41 
01/04/2015, 1.23 , 1.63 , 2.37 , 2.30 
01/05/2015, 1.44 , 1.93 , 2.61 , 2.52 
01/06/2015, 1.51 , 2.05 , 2.76 , 2.65 
01/07/2015, 1.52 , 2.01 , 2.73 , 2.62 
01/08/2015, 1.40 , 1.83 , 2.51 , 2.39 
01/09/2015, 1.28 , 1.85 , 2.52 , 2.41 
01/10/2015, 1.18 , 1.81 , 2.56 , 2.47 
01/11/2015, 1.30 , 1.94 , 2.64 , 2.52 
01/12/2015, 1.25 , 1.87 , 2.58 , 2.43 
01/01/2016, 1.20 , 1.73 , 2.50 , 2.35 
01/02/2016, 0.86 , 1.44 , 2.31 , 2.17 
01/03/2016, 0.88 , 1.46 , 2.32 , 2.17 
01/04/2016, 0.87 , 1.48 , 2.33 , 2.18 
01/05/2016, 0.86 , 1.43 , 2.28 , 2.11 
01/06/2016, 0.69 , 1.18 , 2.02 , 1.82 
01/07/2016, 0.36 , 0.79 , 1.65 , 1.45 
01/08/2016, 0.21 , 0.59 , 1.35 , 1.21 
01/09/2016, 0.24 , 0.77 , 1.45 , 1.32 
01/10/2016, 0.43 , 1.04 , 1.71 , 1.56 
01/11/2016, 0.61 , 1.34 , 1.99 , 1.79 
01/12/2016, 0.57 , 1.39 , 2.03 , 1.83 
01/01/2017, 0.58 , 1.38 , 2.02 , 1.83 
01/02/2017, 0.46 , 1.25 , 1.95 , 1.77 
01/03/2017, 0.35 , 1.13 , 1.84 , 1.65 
01/04/2017, 0.51 , 1.06 , 1.67 , 1.53 
01/05/2017, 0.51 , 1.09 , 1.73 , 1.58 
01/06/2017, 0.49 , 1.04 , 1.71 , 1.55 
01/07/2017, 0.63 , 1.24 , 1.87 , 1.71 
01/08/2017, 0.49 , 1.09 , 1.75 , 1.59 
01/09/2017, 0.63 , 1.21 , 1.83 , 1.65 
01/10/2017, 0.78 , 1.35 , 1.91 , 1.71 
01/11/2017, 0.75 , 1.28 , 1.85 , 1.65 
01/12/2017, 0.73 , 1.22 , 1.79 , 1.60 
01/01/2018, 0.86 , 1.34 , 1.84 , 1.63 
01/02/2018, 1.05 , 1.57 , 1.96 , 1.74 
01/03/2018, 1.16 , 1.45 , 1.82 , 1.60 
01/04/2018, 1.17 , 1.44 , 1.83 , 1.64 
01/05/2018, 1.11 , 1.42 , 1.84 , 1.64 
01/06/2018, 1.04 , 1.32 , 1.78 , 1.60 
01/07/2018, 1.02 , 1.27 , 1.72 , 1.57 
01/08/2018, 1.03 , 1.29 , 1.75 , 1.61 
01/09/2018, 1.12 , 1.53 , 1.87 , 1.74 
01/10/2018, 1.13 , 1.56 , 1.94 , 1.86 
01/11/2018, 1.00 , 1.44 , 1.95 , 1.87 
01/12/2018, 0.88 , 1.27 , 1.82 , 1.71 
01/01/2019, 0.92 , 1.28 , 1.79 , 1.69 
01/02/2019, 0.85 , 1.20 , 1.72 , 1.61 
01/03/2019, 0.88 , 1.14 , 1.65 , 1.55 
01/04/2019, 0.87 , 1.14 , 1.67 , 1.55 
01/05/2019, 0.80 , 1.06 , 1.61 , 1.50 
01/06/2019, 0.61 , 0.84 , 1.44 , 1.35 
01/07/2019, 0.52 , 0.73 , 1.36 , 1.29 
01/08/2019, 0.35 , 0.47 , 1.09 , 1.04 
01/09/2019, 0.40 , 0.50 , 1.04 , 0.95 
01/10/2019, 0.40 , 0.53 , 1.10 , 1.01 
01/11/2019, 0.51 , 0.64 , 1.25 , 1.16 
01/12/2019, 0.58 , 0.69 , 1.28 , 1.17 
01/01/2020, 0.47 , 0.58 , 1.16 , 1.06 
01/02/2020, 0.43 , 0.49 , 1.05 , 0.93 
01/03/2020, 0.26 , 0.40 , 0.85 , 0.65 
01/04/2020, 0.16 , 0.31 , 0.69 , 0.47 
01/05/2020, 0.05 , 0.22 , 0.60 , 0.40 
01/06/2020, 0.01 , 0.23 , 0.66 , 0.49 
01/07/2020,-0.08 , 0.15 , 0.64 , 0.49 
01/08/2020,-0.04 , 0.21 , 0.76 , 0.61 
01/09/2020,-0.08 , 0.21 , 0.77 , 0.62 
01/10/2020,-0.05 , 0.24 , 0.81 , 0.65 
01/11/2020,-0.00 , 0.31 , 0.89 , 0.73 
01/12/2020,-0.04 , 0.25 , 0.81 , 0.64 
01/01/2021,-0.05 , 0.28 , 0.86 , 0.69 
01/02/2021, 0.45 , 0.56 , 1.14 , 0.98 
01/03/2021, 0.45 , 0.78 , 1.31 , 1.14 
01/04/2021, 0.45 , 0.77 , 1.30 , 1.11 
01/05/2021, 0.46 , 0.82 , 1.36 , 1.15 
01/06/2021, 0.45 , 0.76 , 1.28 , 1.11 
01/07/2021, 0.37 , 0.61 , 1.09 , 0.92 
01/08/2021, 0.35 , 0.57 , 0.97 , 0.77 
01/09/2021, 0.47 , 0.81 , 1.13 , 0.94 
01/10/2021, 0.76 , 1.10 , 1.36 , 1.15 
01/11/2021, 0.69 , 0.93 , 1.05 , 0.82 
01/12/2021, 0.65 , 0.81 , 0.95 , 0.69 
01/01/2022, 1.00 , 1.18 , 1.29 , 1.05 
01/02/2022, 1.31 , 1.44 , 1.54 , 1.31 
01/03/2022, 1.28 , 1.52 , 1.71 , 1.51 
01/04/2022, 1.58 , 1.81 , 1.94 , 1.71 
01/05/2022, 1.56 , 1.90 , 2.12 , 1.90 
01/06/2022, 2.05 , 2.39 , 2.60 , 2.39 
01/07/2022, 1.76 , 2.05 , 2.53 , 2.37 
01/08/2022, 2.09 , 2.23 , 2.58 , 2.40 
01/09/2022, 3.43 , 3.39 , 3.63 , 3.32 
01/10/2022, 4.04 , 3.96 , 4.13 , 3.65 
,,,,
,,,,
,,,,
,,,,
,,,,
